epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,351.418,0.2802,0.30995,0.81516,0.53775,0.66667,0.5147,0.30295,1.3905,3.00106,1.92815,3.127e-05,3.127e-05,3.127e-05
1,6.55848,1.24883,2.31026,1.33271,0.26925,0.64706,0.46187,0.36693,0.58964,1.69553,1.00398,0,0,0
2,11.8546,1.33619,2.31065,1.399,0.42781,0.52941,0.54684,0.44301,0.56558,1.62743,0.99624,1.967e-05,1.967e-05,1.967e-05
3,17.2466,1.16887,2.07091,1.27975,0.71329,0.58824,0.67601,0.55499,0.55274,1.52365,0.9919,3.868e-05,3.868e-05,3.868e-05
4,22.3649,1.01444,1.66052,1.2646,0.8821,0.58824,0.78368,0.63275,0.58576,1.46918,1.03039,5.703e-05,5.703e-05,5.703e-05
5,27.561,0.83669,1.38807,1.16679,0.94669,0.58824,0.83987,0.69038,0.51851,1.51479,0.97875,7.472e-05,7.472e-05,7.472e-05
6,32.9685,0.76416,1.06328,1.04197,0.76312,0.94118,0.9251,0.74463,0.58277,1.61415,1.06507,9.175e-05,9.175e-05,9.175e-05
7,38.1833,0.65562,0.88316,1.00847,0.79276,0.94118,0.9454,0.77689,0.63379,1.71525,1.1061,0.00010812,0.00010812,0.00010812
8,43.2295,0.66652,0.76068,0.9915,0.80489,0.97137,0.95405,0.76759,0.63058,1.84043,1.05337,0.00012383,0.00012383,0.00012383
9,48.6953,0.6269,0.66412,0.93057,0.7883,0.87644,0.9475,0.76605,0.61934,1.93341,0.99658,0.00013888,0.00013888,0.00013888
10,54.029,0.64395,0.64297,0.95171,0.8807,0.86911,0.93662,0.78607,0.58736,1.98174,0.96753,0.00015327,0.00015327,0.00015327
11,59.2638,0.52032,0.63644,0.92012,0.86211,0.88235,0.94424,0.81274,0.54384,1.91797,0.94629,0.000167,0.000167,0.000167
12,64.2987,0.52219,0.54425,0.88708,0.84459,0.95971,0.97708,0.83844,0.52822,1.59825,0.94409,0.00018007,0.00018007,0.00018007
13,69.3412,0.51712,0.57549,0.9054,0.9411,0.93991,0.96889,0.81891,0.50229,1.40603,0.93871,0.00019248,0.00019248,0.00019248
14,74.6078,0.50812,0.50385,0.89157,0.94361,0.985,0.98222,0.834,0.49509,1.14964,0.93992,0.00020423,0.00020423,0.00020423
15,79.7135,0.49206,0.50808,0.91362,0.92195,0.94118,0.94692,0.8508,0.50521,1.08385,0.94346,0.00021532,0.00021532,0.00021532
16,84.8856,0.56052,0.56797,0.95461,0.9438,0.98841,0.96278,0.84332,0.49125,0.97097,0.93392,0.00022575,0.00022575,0.00022575
17,89.9402,0.46555,0.51219,0.86829,0.89424,0.99496,0.97209,0.87617,0.47636,0.86757,0.92229,0.00023552,0.00023552,0.00023552
18,95.1728,0.40429,0.46041,0.90834,0.89424,0.99496,0.97209,0.87617,0.47636,0.86757,0.92229,0.00024463,0.00024463,0.00024463
19,100.252,0.4808,0.49964,0.90812,0.94373,0.98719,0.96889,0.86261,0.46265,0.92322,0.91829,0.00025308,0.00025308,0.00025308
20,105.204,0.42682,0.42178,0.84675,0.94373,0.98719,0.96889,0.86261,0.46265,0.92322,0.91829,0.00026087,0.00026087,0.00026087
21,110.254,0.39453,0.45589,0.88656,0.93203,1,0.95278,0.86582,0.4737,0.88801,0.92346,0.000268,0.000268,0.000268
22,115.629,0.39883,0.37192,0.86249,0.93203,1,0.95278,0.86582,0.4737,0.88801,0.92346,0.00027447,0.00027447,0.00027447
23,120.813,0.43204,0.39733,0.87161,0.88326,1,0.9578,0.85617,0.48219,0.88386,0.91718,0.00028028,0.00028028,0.00028028
24,126.106,0.49072,0.50796,0.90046,0.88326,1,0.9578,0.85617,0.48219,0.88386,0.91718,0.00028543,0.00028543,0.00028543
25,131.285,0.50658,0.45517,0.94538,0.84658,1,0.96632,0.875,0.47137,0.89647,0.90171,0.00028992,0.00028992,0.00028992
26,136.362,0.41154,0.38865,0.86874,0.84658,1,0.96632,0.875,0.47137,0.89647,0.90171,0.00029375,0.00029375,0.00029375
27,141.48,0.46475,0.45723,0.89513,0.84766,1,0.97691,0.86886,0.47302,0.85405,0.90885,0.00029692,0.00029692,0.00029692
28,146.97,0.41944,0.43143,0.85471,0.84766,1,0.97691,0.86886,0.47302,0.85405,0.90885,0.00029943,0.00029943,0.00029943
29,151.997,0.38491,0.41403,0.83662,0.84665,1,0.90203,0.79719,0.48176,0.91859,0.93481,0.00030128,0.00030128,0.00030128
30,157.041,0.3831,0.36196,0.85928,0.84665,1,0.90203,0.79719,0.48176,0.91859,0.93481,0.00030247,0.00030247,0.00030247
31,162.765,0.40932,0.36693,0.88045,0.84485,1,0.88791,0.78631,0.46448,1.01401,0.94301,0.000303,0.000303,0.000303
32,168.102,0.37101,0.35583,0.8432,0.84485,1,0.88791,0.78631,0.46448,1.01401,0.94301,0.00030287,0.00030287,0.00030287
33,173.2,0.39841,0.36589,0.84706,0.82703,1,0.89026,0.77238,0.48065,1.07844,0.95679,0.00030208,0.00030208,0.00030208
34,178.476,0.41741,0.34956,0.86075,0.82703,1,0.89026,0.77238,0.48065,1.07844,0.95679,0.00030063,0.00030063,0.00030063
35,183.833,0.43016,0.37008,0.88645,0.77216,1,0.89598,0.77559,0.50307,1.02528,0.97179,0.00029852,0.00029852,0.00029852
36,189.99,0.375,0.33631,0.84153,0.77216,1,0.89598,0.77559,0.50307,1.02528,0.97179,0.00029575,0.00029575,0.00029575
37,196.051,0.39856,0.32929,0.85252,0.7495,0.88011,0.88269,0.77471,0.5081,1.04097,0.97253,0.00029232,0.00029232,0.00029232
38,201.374,0.4177,0.35147,0.85104,0.7495,0.88011,0.88269,0.77471,0.5081,1.04097,0.97253,0.00028823,0.00028823,0.00028823
39,206.696,0.40885,0.39791,0.88049,0.7492,0.87876,0.84567,0.74554,0.49814,1.00935,0.96923,0.00028348,0.00028348,0.00028348
40,212.011,0.34591,0.35537,0.84768,0.7492,0.87876,0.84567,0.74554,0.49814,1.00935,0.96923,0.00027807,0.00027807,0.00027807
41,217.241,0.39463,0.35343,0.88373,0.74835,0.88235,0.8723,0.76666,0.50528,1.01392,0.97241,0.000272,0.000272,0.000272
42,222.382,0.34197,0.29126,0.83564,0.74835,0.88235,0.8723,0.76666,0.50528,1.01392,0.97241,0.00026527,0.00026527,0.00026527
43,227.676,0.34951,0.28602,0.86667,0.72566,0.94118,0.90066,0.77408,0.53087,1.00553,0.9824,0.00025788,0.00025788,0.00025788
44,232.688,0.35388,0.35344,0.85835,0.72566,0.94118,0.90066,0.77408,0.53087,1.00553,0.9824,0.00024983,0.00024983,0.00024983
45,237.996,0.37624,0.3171,0.8499,0.76139,0.93861,0.91286,0.77385,0.55461,0.96199,0.98509,0.00024112,0.00024112,0.00024112
46,243.216,0.37177,0.3411,0.84614,0.76139,0.93861,0.91286,0.77385,0.55461,0.96199,0.98509,0.00023175,0.00023175,0.00023175
47,248.484,0.37506,0.36613,0.84887,0.87895,0.85512,0.91174,0.7675,0.55004,0.85444,0.97716,0.00022172,0.00022172,0.00022172
48,253.745,0.36848,0.32595,0.87048,0.87895,0.85512,0.91174,0.7675,0.55004,0.85444,0.97716,0.00021103,0.00021103,0.00021103
49,258.829,0.34627,0.31423,0.86261,0.77212,0.99672,0.91324,0.76015,0.53225,0.7664,0.97304,0.00019968,0.00019968,0.00019968
50,263.935,0.33896,0.31379,0.84828,0.77212,0.99672,0.91324,0.76015,0.53225,0.7664,0.97304,0.00018767,0.00018767,0.00018767
51,269.324,0.33311,0.4174,0.80207,0.88419,0.89885,0.92509,0.81137,0.5177,0.75105,0.97379,0.000175,0.000175,0.000175
